,close,date,high,low,open,quoteVolume,volume,weightedAverage
248,6599.99999996,1510694100,6602.47789999,6580.00000007,6580.00000007,10.72510516,70742.95964282,6596.01547839
249,6600,1510694400,6610,6599.99999991,6599.99999996,11.46751984,75696.0354208,6600.90729965
250,6590,1510694700,6600.0000001,6590,6599.99999999,9.10321007,60028.85436739,6594.25124827
251,6559.99999992,1510695000,6594.61690707,6549.7300759,6590,41.44943748,271926.26998113,6560.43330171
252,6575.99999999,1510695300,6577.52311759,6549.00332855,6559.06125037,9.77080388,64106.73121775,6561.04983838
253,6579.56399991,1510695600,6592.97836779,6559.99999955,6576.73589967,19.52925569,128581.96266185,6584.0687788
254,6565.00000016,1510695900,6579.56399991,6564.09783824,6579.56399991,17.2684301,113448.1726429,6569.68653119
255,6577.10141448,1510696200,6579.5639998,6564.40739247,6570,5.06713401,33308.71611579,6573.48237683
256,6582.11038591,1510696500,6588.37120066,6558.15237475,6579.5639998,25.2606018,166072.14240833,6574.35415526
257,6560.00000013,1510696800,6582.11038565,6551.76266987,6558.15237474,10.07557888,66062.81467316,6556.72646306
258,6563.90668273,1510697100,6569.9999996,6553.99999999,6560.00000013,26.33595321,172866.56001537,6563.89987622
259,6579.00000019,1510697400,6587.91679721,6557.77399307,6569.9999996,19.91288527,130853.73221138,6571.30950322
260,6587.91679725,1510697700,6588.00000003,6571.99999986,6579.00000009,12.89798671,84898.32273822,6582.29262032
261,6587.00000015,1510698000,6590,6578.18718227,6587.91679725,10.34576012,68122.51842462,6584.58321423
262,6593,1510698300,6595,6578.18718242,6587.00000015,13.25016637,87312.75407449,6589.55907694
263,6559.4340491,1510698600,6593,6559.4340491,6593,12.13529738,79867.19728723,6581.39597129
264,6556.00000052,1510698900,6571.72392682,6549.0017567,6559.4340491,6.07239613,39823.95387127,6558.19433032
265,6530.7283,1510699200,6571.72392682,6530.7283,6571.72392682,17.53455169,114866.53636314,6550.86815984
266,6545.52379744,1510699500,6549.99999999,6530.00000005,6531.73563755,10.58591329,69206.49988753,6537.60313273
267,6537.73813921,1510699800,6549.00175666,6531.00200418,6545.52379724,4.64144517,30335.72502663,6535.83612765
268,6527.8693,1510700100,6550,6512.93187728,6542.4454,69.98109045,456939.28282769,6529.46788753
